Links,Texts
https://navavani.org.in/wp/archives/18404,ज्ञानपीठपुरस्कारः- गुल्सार् वर्यः जगद्गुरुः रामभद्राचार्यश्च पुरस्कृतौ।
https://navavani.org.in/wp/archives/18387,ओ के मुन्षी पुरस्कारः डा : नारायणन् नम्पूतिरि वर्याय ।
https://navavani.org.in/wp/archives/18371,मुन्षि पुरस्कारः डो-पि नारायणन् नम्पूतिरिवर्याय दीयते।
https://navavani.org.in/wp/archives/18368,केरलेषु पाठ्यचर्यायाः समग्रपरिवर्तनेन पाठ्यपुस्तकानि परिष्कृतानि।
https://navavani.org.in/wp/archives/18361,विद्यालयीयकलोत्सवे कण्णूर् मण्डलं विजयकिरीटमन्ववाप।
https://navavani.org.in/wp/archives/18331,"भारतीय-मल्लयुद्धसङ्घस्य अध्यक्षः ब्रिज्भूषणस्य विश्वस्तः, साक्षी मालिक् मल्लयुद्धात् विरम्य सास्रं प्रतिनिवृत्ता।"
https://navavani.org.in/wp/archives/18307,अभिगेल् सारा रेजि नामिकां बालिकाम् अन्ववागच्छत्। कोल्लम् आश्रामं वेदिकायाम् परित्यक्तरूपेण सा दृष्टा।
https://navavani.org.in/wp/archives/18299,केरलेषु कुसाट् इति अभियान्त्रिकविश्वविद्यालये दुर्घटना- चत्वारः मृताः।
https://navavani.org.in/wp/archives/18271,२०२३ वर्षस्य केरलपुरस्कारान् अघोषयत्।
https://navavani.org.in/wp/archives/18256,"गगनयान्- क्रू एस्केप् परीक्षणं विजयमभवत्, पेटकं सुरक्षितरूपेण सागरे अवतारितम्।"
https://navavani.org.in/wp/archives/18237,सूक्ष्मप्रकाशस्पन्दनं संस्रष्टुं पन्थानमवगच्छतां त्रीणां भौतिकशास्त्रज्ञानां कृते नोबल् पुरस्कारः।
https://navavani.org.in/wp/archives/18227,भारतीय-हरितान्दोलनस्य पिता एम्-एस्- स्वामिनाथन् वर्यः दिवंगतःl
https://navavani.org.in/wp/archives/18215,मन्दिरेषु पौरोहित्ये नार्यः अपि नियोजिताः। तमिल् नाटु राज्यम् इतिहासं रचयति।
https://navavani.org.in/wp/archives/18212,निपा वैराणुबाधा- केन्द्रीयसङ्घः कोषिक्कोट् मण्टले। ११ जनानां वैराणुपरीक्षणफलम् अद्य आयाति।
https://navavani.org.in/wp/archives/18190,चन्द्रयान्-३ अभियानं सम्पूर्णविजयः। चन्द्रमण्डलस्य दक्षिणध्रुवे चन्द्रयानम् अवातरत्।
https://navavani.org.in/wp/archives/18173,कैरलीचलच्चित्रनिदेशकः सिद्दीक् वर्यः निरगात्।
https://navavani.org.in/wp/archives/18171,पाठ्यचर्यायां लिङ्गपरा अभिलेखा।
https://navavani.org.in/wp/archives/18155,काण्ग्रेस् दलस्य वरिष्ठनेता तथा भूतपूर्वमन्त्री वक्कं पुरुषोत्तमन् वर्यः दिवङ्गतः।
https://navavani.org.in/wp/archives/18134,केरलानां भूतपूर्वमुख्यमन्त्री उम्मन् चाण्टीवर्यः दिवंगतः।
https://navavani.org.in/wp/archives/18123,चन्द्रयान्-३ विक्षेपणं सुसम्पन्नम्।
https://navavani.org.in/wp/archives/18115,चन्द्रयान् – ३ विक्षेपणं १४ तमे दिनाङ्के।
https://navavani.org.in/wp/archives/18111,संस्कृतशिक्षकप्रशिक्षणवर्गे( डि-एल्-एड्) प्रवेशार्थं सर्वकारीणविज्ञापनम्।
https://navavani.org.in/wp/archives/18098,टैट्टन् दौत्यं दुरन्ते पर्यवसितम्। पेटकस्थाः पञ्च जनाः मृताः इति निगमनम्।
https://navavani.org.in/wp/archives/18093,योगविद्यायां प्रागल्भ्यमावहति कश्चन संस्कृताध्यापकः।
https://navavani.org.in/wp/archives/18084,सम्पूर्ण प्लस् मोबैल् आप् सज्जमभवत्। उपस्थित्यवस्थातः प्रगतिप्रतिवेदनं यावत् सर्वमपि सन्ति।
https://navavani.org.in/wp/archives/18067,पाठपुस्तके वृष्टिसम्बन्धी प्रचारः अलीकः इति शिक्षाविभागमन्त्री।
https://navavani.org.in/wp/archives/18056,नूतन संसद्भवनस्य लोकार्पणम् अद्य प्रधानमन्त्रिणा निर्वूढम्।
https://navavani.org.in/wp/archives/18046,महापीठम्- संस्कृतचलचित्रस्य चित्रीकरणं सुसम्पन्नम्।
https://navavani.org.in/wp/archives/18014,पाठ्यपुस्तकात् परिणामसिद्धान्तोपि निष्कासितः।
https://navavani.org.in/wp/archives/17991,केरलीय शिक्षा सङ्गमः समुद्घाटितः।
https://navavani.org.in/wp/archives/17980,हास्यसम्राट् इन्नसेन्ट् कालयननिकान्तर्गतः।
https://navavani.org.in/wp/archives/17976,विश्व-प्रसन्नता-वृत्तान्तः- फिन्लान्ट् विश्वे सन्तुष्टतमं राष्ट्रम्।
https://navavani.org.in/wp/archives/17956,ओस्कार् पुरस्कारे भारतस्य श्रेष्ठता।
https://navavani.org.in/wp/archives/17945,अमेरिक्कीयगणितशास्त्रज्ञैः संगमग्राममाधवः अङ्गीकृतः।
https://navavani.org.in/wp/archives/17929,संस्कृताध्याापकपरिशीलनवर्गः समारब्धः।
https://navavani.org.in/wp/archives/17925,पि टि कुरियाक्कोस् स्मारकप्रभाषणम् अद्य सम्पत्स्यते।
https://navavani.org.in/wp/archives/17919,चलचित्रमण्डले दादासाहेब् फाल्के पुरस्कारः घोषितः। कैरलीचलचित्रे दुल्खर् सल्मान् पुरस्कृतः।
https://navavani.org.in/wp/archives/17906,"शिक्षाविभागस्य घटनां परिवर्तयति। डि-इ-ओ-, ए-इ-ओ- कार्यालयाः न भविष्यन्ति।"
https://navavani.org.in/wp/archives/17904,५९०६ अध्यापकपदवीः स्रक्ष्यते। वित्तविभागस्य अङ्गीकारात् परं नियुक्तिर्भविता।
https://navavani.org.in/wp/archives/17892,"तुर्की-सिरिया भूकम्पः, २-३ कोटि जनाः दुरितावस्थायाम् , प्रासादावशिष्टेषु जीवस्य स्पन्दनम्।"
https://navavani.org.in/wp/archives/17863,डो -मुत्तलपुरं मोहन् दास् वर्यः कालकवलितो अभवत्।
https://navavani.org.in/wp/archives/17876,तया इति संस्कृतचलचित्रस्य प्रदर्शनम् इरिङ्ङालक्कुटा देशे।
https://navavani.org.in/wp/archives/17859,पद्मपुरस्काराः घोषिताः।
https://navavani.org.in/wp/archives/17840,संस्कृतमहाविद्यालयस्य फ्रीडं वाल् इति भित्तिचित्रप्रदर्शनं भारतीय अभिलेख पुस्तके
https://navavani.org.in/wp/archives/17829,पाठके द्विगुणीकृतमाधुर्यम्- पुत्री शिष्यश्च पाठकप्रयोक्तारौ।
https://navavani.org.in/wp/archives/17824,संस्कृतविचारसत्रं सम्पन्नम् ।
https://navavani.org.in/wp/archives/17812,पादकन्दुकक्रीडाप्रकाण्डं पेले वर्यः कालकबलितः अभूत्।
https://navavani.org.in/wp/archives/17795,विश्वचषक पादकन्दुकक्रीडायाम् अर्जन्टीना विजयमवाप।
https://navavani.org.in/wp/archives/17783,"विश्वचषकस्पर्धा- अर्जन्टीना पूर्वान्तिमचक्रे, ब्रसील् स्पर्धायाः बहिर्गतम्।"
https://navavani.org.in/wp/archives/17780,"विषिञ्ञं प्रक्षोभः प्रतिनिवृत्तः, मुख्यमन्त्रिणा सार्धं समायोजितायां चर्चायां निर्णयः।"
https://navavani.org.in/wp/archives/17771,तया इति संस्कृतचलच्चित्रं अन्ताराष्ट्रचलच्चित्रोत्सवे प्रदर्शयिष्यति।
https://navavani.org.in/wp/archives/17769,विद्यालयेषु सूचनाप्रौद्योगिकाध्ययनम्- केरलस्य श्रेष्ठता।
https://navavani.org.in/wp/archives/17754,राज्यस्तरीयः विद्यालयीयकलोत्सवः जनुवरिमासे कोषिक्कोच् नगरे सम्पत्स्यते।
https://navavani.org.in/wp/archives/17735,संस्कृतप्रणयभाजनं पि टी कुरियाक्कुमास्टर् अनुस्मरणम् ।
https://navavani.org.in/wp/archives/17732,"राष्ट्रिय कायिकक्रीडापुरस्कारः घोषितः। शरत् कमल् – खेल् रत्न, एच् एस् प्रणोय् एल्दो पोल् च – अर्जुनपुरस्कारः।"
https://navavani.org.in/wp/archives/17712,कुरियाकु मास्टर स्मारक पुरस्कार समर्पणम् नवम्बर18 तमे दिनाङ्के ।
https://navavani.org.in/wp/archives/17232,पाठ्यचर्यानवीकरणचर्चायां ४८ लक्षं छात्राः तेषां रक्षितारश्च भागं गृहीष्यन्ति।
https://navavani.org.in/wp/archives/17209,पी टी कुर्याक्कोस् स्मारकपुरस्काराय डो-पि नारायणन् नम्पूतिरिवर्यः चितः।
https://navavani.org.in/wp/archives/17206,हरितविद्यालयम्- विद्याभ्यास-वास्तविकप्रदर्शनम्(रियालिट्टी षो)
https://navavani.org.in/wp/archives/17196,न्यायाधीशः डी वै चन्द्रचूडः सर्वोच्चन्यायालये मुख्यन्यायाधीशपदव्यां नियुक्तः।
https://navavani.org.in/wp/archives/17184,राष्ट्रिय प्रतिभा निर्णय छात्रवृत्तिमपि निवर्तयति।
https://navavani.org.in/wp/archives/17179,अध्ययन यात्राविषये दत्ताः अनुदेशाः पुनरपि संसूचिता।
https://navavani.org.in/wp/archives/17162,मार्क्स्वादी-साम्यवादी दलस्य नेता कोटियेरि बालकृष्णन् वर्यः दिवङ्गतः।
https://navavani.org.in/wp/archives/17157,फाल्के पुरस्कारम् आशा परेख् वर्यायै दास्यति।
https://navavani.org.in/wp/archives/17133,श्रेष्ठतायै विद्यालयीयशिक्षा- डो-एं ए खादर् समित्याः अभिवेदने द्वितीयभागमपि मुख्यमन्त्रिणे समार्पयत्।
https://navavani.org.in/wp/archives/17130,केरलेषु सार्वजनीनविद्यालयीयाः छात्राः अतीव सन्तुष्टाः।
https://navavani.org.in/wp/archives/17127,तिरुवोणभाग्यः।
https://navavani.org.in/wp/archives/17114,एलिसबत् राज्ञी कालकबलिता।
https://navavani.org.in/wp/archives/17103,अद्य शिक्षकदिवसःl
https://navavani.org.in/wp/archives/17099,ऐ-एन्-एस् विक्रान्त् प्रधानमन्त्री अद्य राष्ट्राय समर्पयिष्यति।
https://navavani.org.in/wp/archives/17096,मिखायेल् गोर्बच्चेव् वर्यः कालकबलितो अभवत्।
https://navavani.org.in/wp/archives/17073,केन्द्र साहित्य अक्कादमीपुरस्कारः विज्ञापितः।
https://navavani.org.in/wp/archives/17076,पुरस्काराः समर्पिताःl
https://navavani.org.in/wp/archives/17060,उत्तरभारते महाप्रलयः। पञ्चसु राज्येषु आहत्य ३५ मरणानि। हिमाचलप्रदेशे २२ जनाः मृताः।
https://navavani.org.in/wp/archives/17053,दक्षिणभारत- योगप्रतियोगितायाम् अध्यापकः सम्मानितः।
https://navavani.org.in/wp/archives/17036,पञ्चसप्तति श्लोकान् विलिखन् नारायणः ।
https://navavani.org.in/wp/archives/17022,केरल-संस्कृत-अक्कादमीपुरस्कारः घोषितः।
https://navavani.org.in/wp/archives/17006,जग्दीप् धनकर् भारतस्य चतुर्दश‌तमः उपराष्ट्रपतिः
https://navavani.org.in/wp/archives/16987,चतुर्दिवसपर्यन्तं अतिशक्तां वष्टिं प्रतीक्षते। जागरूकता निर्देशः दत्तः। जलबन्धाः केचन उद्घाटिताः।
https://navavani.org.in/wp/archives/16970,द्रौपदी मुर्मूवर्या भारतस्य राष्ट्रपतिः
https://navavani.org.in/wp/archives/16968,बालकानां बालिकानां च कृते पृथक् विद्यालयः नावश्यकः इति बालाधिकारायोगः।
https://navavani.org.in/wp/archives/16952,नववाणीदर्शकानां संख्या एकलक्षमतीता।
https://navavani.org.in/wp/archives/16940,जापानस्य भूतपूर्वः प्रधानमन्त्री गोलिकाभिः मृतः।
https://navavani.org.in/wp/archives/16937,केरलराज्ये संस्कृतिकविभागमन्त्री सजि चेरियान् वर्यः त्यागपत्रम् अदात्।
https://navavani.org.in/wp/archives/16906,"राष्ट्रपतिनिर्वाचनम्, मत्सरसाहचर्यं संजातम्।"
https://navavani.org.in/wp/archives/16903,"अद्य अन्ताराष्ट्रिय योगदिवसः, वैविध्यपूर्णः कार्यक्रमः आराष्ट्रम् आयोज्यते।"
https://navavani.org.in/wp/archives/16888,सर्वकारीयवृत्तिषु छात्रारक्षिभटानां(SPC) विशेषपरिगणना भविता।
https://navavani.org.in/wp/archives/16865,"तुर्की राष्ट्रस्य नूतनं नाम, ऐक्यराष्ट्रसभायाः अङ्गीकारः।"
https://navavani.org.in/wp/archives/16861,विद्यालयाः पुनरपि सजीवाः जायन्ते।
https://navavani.org.in/wp/archives/16844,संस्कृतस्य विशिष्ठाघिकारिणी वृत्तिविरता अभवत् ।
https://navavani.org.in/wp/archives/16841,विद्वेषघोषणा-बालकस्य पितरं न्यग्रहीत्।
https://navavani.org.in/wp/archives/16838,२०२१ तमवर्षस्य राज्य-चलचित्रपुरस्काराः घोषिता‌
https://navavani.org.in/wp/archives/16833,"द्वेषभाषणम्, पी.सी. जार्ज् वर्यः आरक्षिनिग्रहे अस्ति, सः शीघ्रमेव गृहीतः भविष्यति।"
https://navavani.org.in/wp/archives/16830,राष्ट्रपतिः रामनाथ कोविन्दवर्यः अद्य केरलेषु पर्यटति।
https://navavani.org.in/wp/archives/16819,सङ्कलितविद्यालयाः अनिवार्याः- बालाधिकार-आयोगः।
https://navavani.org.in/wp/archives/16800,गूगिल् अनुवादे संस्कृतमपि योजितम्। अष्ट भारतीयभाषाः नूतनतया योजिताः
https://navavani.org.in/wp/archives/16789,अशोकन् पुरनाट्टुकरा-भारतमुद्रा पुरस्कारः फा- बोबी जोस् कट्टिक्काट् वर्याय।
https://navavani.org.in/wp/archives/16776,घर्मविद्वेषभाषणम्- पी-सी- जोर्ज् महाशयः निगृहीतः।
https://navavani.org.in/wp/archives/16770,नतनः राष्ट्रीय-पाठ्यचर्यावन्धः-अनुशासनपत्रं प्रकाशितम्।
https://navavani.org.in/wp/archives/16762,नैपुण्यविकासाय प्राधान्यं दास्यति – केरलीयशिक्षामन्त्री।
https://navavani.org.in/wp/archives/16750,कैरलीचलच्चित्रमण्डले विख्यातः पटकथाकारः जोण् पोल् वर्यः दिवङ्गतः।
https://navavani.org.in/wp/archives/16736,लेफ्- जनरल् मनोज् पाण्डे स्थलसेनाध्यक्षः।
https://navavani.org.in/wp/archives/16726,"एकस्मिन् समये बिरुदद्वयम्, विश्वविद्यालय-अनुदान-आयोगस्य नूतनः परिष्कारः।"
https://navavani.org.in/wp/archives/16706,केरलेषु कोविड् नियन्त्रणानि प्रत्यसंहरत्।
https://navavani.org.in/wp/archives/16699,"प्रशमनं विना तैलेन्धनस्य मूल्यवर्धनं, दशदिनाभ्यन्तरे नवरूप्यकाणां वर्धनम्।"
https://navavani.org.in/wp/archives/16679,वाचनवसन्तः- पाठशालाग्रन्थालयाय पुस्तकवितरणं सम्पूर्णमभवत्।
https://navavani.org.in/wp/archives/16651,पादकन्दुकक्रीडायां मञ्जकस्य भञ्जनेन ५० अधिकाः जनाः रुग्णाः। १५ जनानाम् अवस्था गुरुतरा।
https://navavani.org.in/wp/archives/16632,संस्कृतशिक्षायाः विशिष्टाधिकारिण्यै उपहारसमर्पणम्।
https://navavani.org.in/wp/archives/16605,युक्रैने स्थगितानां मोचनाय रूस् राष्ट्रेण अल्पकालीनः सङ्घर्षविरामः घोषितः।
https://navavani.org.in/wp/archives/16588,ओपरेशन् गङ्गा प्रगतिं प्राप्नोति 907 भारतीयाः स्वदेशं प्रापिताः।
https://navavani.org.in/wp/archives/16584,युक्रैने आपातस्थितिः घोषिता। प्रान्तेस्मिन् रूस् राष्ट्रेण अधिकं सैन्यं विन्यस्तम्।
https://navavani.org.in/wp/archives/16580,के-पि-ए-सि ललिता दिवङ्गता।
https://navavani.org.in/wp/archives/16547,"नवमवर्गपर्यन्तं छात्राणां परीक्षा एप्रिल् प्रथमे सप्ताहे, कक्ष्या मार्च् अन्तिमतिथिं यावत्।"
https://navavani.org.in/wp/archives/16532,फस्ट् बेल् श्रव्यसञ्चिका शिक्षामन्त्रिणा प्रकाशिता।
https://navavani.org.in/wp/archives/16529,सैन्याय स्नेहाभिवादनम्- मुख्यमन्त्री।
https://navavani.org.in/wp/archives/16509,भारतस्य प्रसिद्धा चलचित्रगायिका लता मङ्केष्कर् वर्या दिवङ्गता।
https://navavani.org.in/wp/archives/16507,केरलराज्ये विद्यालयानां प्रवर्तनं पुनरारभते। कलालयाः सप्तमदिनाङ्कात् पुनरारभते।
https://navavani.org.in/wp/archives/16502,प्रसिद्धः व्यालग्राही वावा सुरेष् वर्यः सर्पदंशनेन चिकित्सालयं नीतः।
https://navavani.org.in/wp/archives/16482,"स्टुटन्ट् पोलीस् कैडट् संघे धर्माधिष्ठितः वेषः नावश्यकः, हिजाब् नानुवदनीयमिति सर्वकारः।"
https://navavani.org.in/wp/archives/16479,कोविड् व्यापनम्- पञ्चायत्त् तले नियन्त्रणानि शक्तीकरिष्यति। नियन्त्रितमेखलाप्रक्रमं तथा सम्पूर्णपिधानं च पुनः आयोजयिष्यति
https://navavani.org.in/wp/archives/16472,विद्यासंस्थासु उपस्थितिः 40 शतमितात् न्यूना चेत् 15 दिवसं यावत् पिधानं भवेयुः।
https://navavani.org.in/wp/archives/16440,केरलेषु नवमकक्ष्यापर्यन्तम् आधिजालिककक्ष्या पुनरारभ्यते।
https://navavani.org.in/wp/archives/16437,राज्यस्तरीय‌ः संस्कृतदिवससमारोहः।
https://navavani.org.in/wp/archives/16392,ओटक्कुषल् पुरस्कारं सारा जोसफ् महाभागायै दास्यति
https://navavani.org.in/wp/archives/16381,"काश्मीरेषु माता वैष्णोदेवीमन्दिरे अपघातः, सम्मर्द्दे 12 मरणानि, 14 जनाः रुग्णाः।"
https://navavani.org.in/wp/archives/16361,"पञ्चदशोर्ध्ववयस्केभ्यो वाक्सिनदानं, षष्टिवयसःऊर्ध्वानां रोगिणां कृते अधिरमात्रावाक्सिनं च ।"
https://navavani.org.in/wp/archives/16358,प्रमाणपत्रवितरणम्।
https://navavani.org.in/wp/archives/16354,केरलविधानसभासदस्यः पि टि तोमस् वर्यः निरगात्
https://navavani.org.in/wp/archives/16332,केरलस्य शास्त्रपारम्पर्यम्।
https://navavani.org.in/wp/archives/16329,"छात्राः अनायासं सञ्चरन्तु, वेषभूषार्थम् अवकाशः अनन्तरं भवेत्- टि पद्मनाभन्।"
https://navavani.org.in/wp/archives/16297,तमिल् नाटु राज्ये नीलगिरिमण्डले उदग्रयानं भग्नमभवत्।
https://navavani.org.in/wp/archives/16294,नीलमणि फुक्कन् दामोदर् मौसो च ज्ञानपीठपुरस्कारेण भूषितौ।
https://navavani.org.in/wp/archives/16263,संस्कृतविश्वविद्यालयस्य कुलपतिस्थानात् धर्मराज् अटाट्ट् वर्यः विनिवर्तते।
https://navavani.org.in/wp/archives/16253,बिच्चु तिरुमल दिवङ्गतः।
https://navavani.org.in/wp/archives/16250,मेडीसेप् अभिरक्षायोजनया सर्वकारः अग्रे गच्छति।
https://navavani.org.in/wp/archives/16234,कार्षिकनियमान् प्रत्याहरिष्यति इति प्रधानमन्त्री।
https://navavani.org.in/wp/archives/16229,च मू कृष्णशास्त्री भारतीयभाषाणाम् उन्नताधिकारसमितेः अध्यक्षः
https://navavani.org.in/wp/archives/16215,"*क्षररहिता संस्कृतभाषा, सा मातृवत् छात्राणाम् उन्नमनाय भवतीती* अश्वति तिरुनाल् गौरी लक्ष्मी भाई तम्पुराट्टी"
https://navavani.org.in/wp/archives/16217,"सप्तसु`मण्डलेषु विद्यालयानां विरामः,परीक्षादिनं परिवर्तितम्"
https://navavani.org.in/wp/archives/16179,"श्रीजेष्, नीरज् चोप्र प्रभृतिभ्यः द्वादशक्रीडकेभ्यः खेल् रत्न पुरस्कारः, ३५ क्रीडकेभ्यः अर्जुन पुरस्कारः।"
https://navavani.org.in/wp/archives/16173,सार्धैकवर्षस्य विरामानन्तरम् अद्य छात्राः विद्यालयं प्रविशन्ति।
https://navavani.org.in/wp/archives/16157,फेस् बुक्क् इतः परं मेट्टा इति नाम्ना प्रवर्तिष्यते। नूतनसंघस्य नाम मार्क् सुक्कर् बर्ग् महाशय ख्यापितवान्।
https://navavani.org.in/wp/archives/16153,मुल्लप्पेरियार् सेतुबन्धे जलमानं १३८ पादपरिमितं कर्तुं तमिल् नाटु राज्यं सन्नद्धतां प्राकटयत्।
https://navavani.org.in/wp/archives/16109,"राज्यस्तरीयः चलच्चित्रपुरस्कारः घोषितः। जयसूर्यः श्रेष्ठ‌ः नटः, अन्ना बेन् श्रेष्ठा नटी।"
https://navavani.org.in/wp/archives/16093,विख्यातः कैरलीचलच्चित्रनटः नेटुमुटि वेणु वर्यः दिवमगात्।
https://navavani.org.in/wp/archives/16069,बेन्यामिन् महोदयाय वयलार् पुरस्कारः घोषितः।
https://navavani.org.in/wp/archives/16067,विद्यालयोद्घाटनसम्बन्धिनी मार्गरेखा सार्वजनीनशिक्षा–तथा स्वास्थ्यमन्त्रिभ्यां मुख्यमन्त्रिणे दत्ता।
https://navavani.org.in/wp/archives/16064,केरलेषु कलालयानां प्रवर्तनम् अद्य पुनरारभ्यते।
https://navavani.org.in/wp/archives/16044,संस्कृतं मानविकतायाः भाषा- महापौरा आर्या राजेन्द्रन्।
https://navavani.org.in/wp/archives/16038,संस्कृतस्य जागरणं संस्कृतशिक्षकैः स्वायत्तीकर्तुं शक्यते इति श्रीमती डोः टि डि सुनीतिदेवीमहाभागा।
https://navavani.org.in/wp/archives/16035,भूतपूर्वः मुख्यसचिवः सि-पि- नायर् वर्यः निर्यातः।
https://navavani.org.in/wp/archives/16031,संस्कृतसप्ताहाचरणं- समापनसभा।
https://navavani.org.in/wp/archives/16017,"जानपदसेवा परीक्षापरिणामः, शुभं कुमारः प्रथमश्रेणीमवाप्तवान्। षष्टश्रेणीं मीरा नामिका केरलीया अवाप"
https://navavani.org.in/wp/archives/16014,द्वितीयस्तरछात्राः अपि नवागताः।८.०७ लक्षं छात्राः प्रथमतया विद्यालयं प्राप्नुवन्ति।
https://navavani.org.in/wp/archives/15961,केरलेषु विद्यालया‌ः नवम्बर् प्रथमदिनाङ्कादारभ्य पुनःप्रवर्तिष्यन्ते।
https://navavani.org.in/wp/archives/15958,लोचनम् -२०२१ अध्यापकशक्तीकरणकार्यक्रमः।
https://navavani.org.in/wp/archives/15953,सर्वेच्चन्यायालयस्य निर्णयानन्तरं विद्यालयानां प्रवर्तनं कदा पुनरारभ्यते इति प्रख्यापनं भविष्यति।
https://navavani.org.in/wp/archives/15902,अध्यापन-अध्ययनप्रक्रियाः नवीकरणीयाः – प्रधानमन्त्री।
https://navavani.org.in/wp/archives/15869,उच्चतरविद्यालयीयाध्यापकानां संघः नवधारा शिॆक्षकदिने गुरुवन्दनं समायोजयत्।
https://navavani.org.in/wp/archives/15886,महाजनानां सान्निद्ध्येन प्रभाषणेन च इरिञ्ञालक्कुटा विद्याभ्यासजिल्लायाः संस्कृतदिनाचरणं सुसम्पन्नं जातम्।।
https://navavani.org.in/wp/archives/15866,"अद्य अध्यापकदिनम्, सेवानिरतान् अध्यापकान् समादरिष्यामः।"
https://navavani.org.in/wp/archives/15853,"केरलेषु अचिरेणैव विद्यालयानां प्रवर्तनं पुनरारप्स्यति, विदग्धसमितिं नियोक्ष्यति इति शिक्षामन्त्री।"
https://navavani.org.in/wp/archives/15847,संस्कृत दिनाचरणम्- पालक्काट्।
https://navavani.org.in/wp/archives/15836,प्रतिकृतिः।
https://navavani.org.in/wp/archives/15806,अद्य श्रीनारायणगुरुजयन्ती।
https://navavani.org.in/wp/archives/15758,श्रीमान् एस् श्रीकुमारः सार्वजनीनशिक्षाविभागे संस्कृत अक्कादमिक समितेः राज्यस्तरीय कार्यदर्शी।
https://navavani.org.in/wp/archives/15753,महाबलिप्रशस्तिगीतं संस्कृतेsपि।
https://navavani.org.in/wp/archives/15722,केरले एकादशकक्ष्या प्रवेशाय नामाभिलेखनम् आगस्त २४ प्रभृति।
https://navavani.org.in/wp/archives/15682,उदूढसुरक्षया राष्ट्रम् अद्य ७५ तमं स्वतन्त्रतादिवसम् आचरति।
https://navavani.org.in/wp/archives/15679,– संस्कृतचलचित्रं- मधुभाषितम्- संस्कृतदिने समारभते।
https://navavani.org.in/wp/archives/15677,विद्यालयेषु संस्कृतदिनाचरणम्
https://navavani.org.in/wp/archives/15657,ओलिम्पिक्स् क्रीडायां कुन्तास्त्रप्रक्षेप विभागे भारतीयः नीरज् चोप्रः सुवर्णपदकमाप्तवान्।
https://navavani.org.in/wp/archives/15653,ओलिम्पिक्स् होक्की स्पर्धायां भारतेन कांस्यपदकमवाप्तम्।
https://navavani.org.in/wp/archives/15632,उद्घाटनं नेतृसंघश्च नास्ति कुतिरान् सुरङ्गयोरेकः उदघाटयत्
https://navavani.org.in/wp/archives/15610,ओलिम्पिक्स् क्रीडोत्सवस्य शुभारम्भः
https://navavani.org.in/wp/archives/15605,राष्ट्रे 68 प्रतिशतं जनेषु कोविडं विरुध्य प्रतिरोधकं विद्यते इति सर्वेक्षणाभिवेदनम्।
https://navavani.org.in/wp/archives/15586,ओण्लैन् अनौपचारिकसंस्कृतपठनम् @ ३६५
https://navavani.org.in/wp/archives/15582,केरले एस्.एस्.एल्.सी. परीक्षाफलं घोषितम्।
https://navavani.org.in/wp/archives/15565,भिषग्वरः डो. पी.के. वारियर् वर्यः दिवङ्गतः।
https://navavani.org.in/wp/archives/15559,पुरोहितः स्टान् स्वामीवर्य परलोकमगात्।
https://navavani.org.in/wp/archives/15540,विश्वे एकमात्रस्य संस्कृतदिनपत्रस्य सम्पादकः के.वी. सम्पत् कुमार् दिवङ्गतः।
https://navavani.org.in/wp/archives/15501,कविः एस्. रमेशन् नायर् दिवंगतः।
